time,an_x,an_y,an_z,wn_x,wn_y,wn_z,posi_x,posi_y,posi_z,angle_x,angle_y,angle_z
0.004000,0.002985,0.000326,0.006996,0.045349,-0.059331,-0.022620,0.000000,0.000000,0.000000,0.000181,-0.000237,-0.000090
0.015000,0.013767,0.006942,0.011188,-0.015443,0.001460,-0.022620,0.000001,0.000000,0.000001,0.000012,-0.000221,-0.000339
0.021000,0.013769,0.006958,0.011188,-0.015443,0.001460,-0.022620,0.000002,0.000001,0.000002,-0.000081,-0.000213,-0.000475
0.027000,0.025748,0.013562,-0.003185,-0.015443,0.001460,0.038172,0.000004,0.000002,0.000003,-0.000174,-0.000204,-0.000246
0.031000,0.025748,0.013572,-0.003185,-0.015443,0.001460,0.038172,0.000006,0.000003,0.000004,-0.000236,-0.000198,-0.000093
0.037000,0.025750,0.013588,-0.003185,-0.015443,0.001460,0.038172,0.000009,0.000005,0.000005,-0.000328,-0.000189,0.000136
0.041000,0.025751,0.013599,-0.003185,-0.015443,0.001460,0.038172,0.000012,0.000006,0.000006,-0.000390,-0.000183,0.000288
0.047000,0.001798,0.013016,0.010589,-0.015443,0.001460,0.038172,0.000017,0.000009,0.000007,-0.000483,-0.000175,0.000517
0.051000,0.001799,0.013026,0.010589,-0.015443,0.001460,0.038172,0.000020,0.000011,0.000008,-0.000544,-0.000169,0.000670
0.056000,0.001800,0.013040,0.010589,-0.015443,0.001460,0.038172,0.000024,0.000013,0.000009,-0.000622,-0.000161,0.000861
0.061000,0.001801,0.013053,0.010589,-0.015443,0.001460,0.038172,0.000028,0.000017,0.000011,-0.000699,-0.000154,0.001052
0.066000,-0.005384,0.019653,-0.010970,-0.015443,0.001460,0.038172,0.000032,0.000020,0.000013,-0.000776,-0.000147,0.001243
0.071000,-0.005383,0.019666,-0.010970,-0.015443,0.001460,0.038172,0.000036,0.000024,0.000014,-0.000853,-0.000140,0.001434
0.075000,-0.005382,0.019677,-0.010970,-0.015443,0.001460,0.038172,0.000038,0.000028,0.000015,-0.000915,-0.000134,0.001586
0.081000,-0.005381,0.019693,-0.010970,-0.015443,0.001460,0.038172,0.000043,0.000034,0.000016,-0.001008,-0.000125,0.001815
0.086000,-0.014414,0.014264,-0.000790,0.045350,-0.059329,0.038173,0.000046,0.000039,0.000017,-0.000781,-0.000422,0.002006
0.092000,-0.014475,0.014217,-0.000790,0.045350,-0.059329,0.038173,0.000049,0.000046,0.000018,-0.000509,-0.000778,0.002235
0.097000,-0.014526,0.014179,-0.000790,0.045350,-0.059329,0.038173,0.000052,0.000052,0.000018,-0.000282,-0.001074,0.002426
0.102000,0.007582,-0.003773,0.008193,-0.015440,-0.059332,-0.022620,0.000054,0.000058,0.000019,-0.000359,-0.001371,0.002313
0.106000,0.007541,-0.003763,0.008193,-0.015440,-0.059332,-0.022620,0.000056,0.000063,0.000020,-0.000421,-0.001608,0.002222
0.111000,0.007490,-0.003749,0.008193,-0.015440,-0.059332,-0.022620,0.000059,0.000070,0.000021,-0.000498,-0.001905,0.002109
0.115000,0.007449,-0.003739,0.008193,-0.015440,-0.059332,-0.022620,0.000061,0.000074,0.000022,-0.000560,-0.002142,0.002019
0.120000,-0.012911,0.019083,0.003402,-0.076233,0.001457,-0.022622,0.000064,0.000081,0.000024,-0.000941,-0.002135,0.001906
0.124000,-0.012910,0.019135,0.003402,-0.076233,0.001457,-0.022622,0.000066,0.000086,0.000025,-0.001246,-0.002129,0.001815
0.129000,-0.012909,0.019200,0.003402,-0.076233,0.001457,-0.022622,0.000068,0.000093,0.000026,-0.001627,-0.002122,0.001702
0.135000,-0.012908,0.019279,0.003402,-0.076233,0.001457,-0.022622,0.000071,0.000102,0.000029,-0.002085,-0.002113,0.001566
0.139000,-0.012906,-0.002827,-0.001389,-0.076235,0.001459,0.038169,0.000072,0.000109,0.000030,-0.002390,-0.002107,0.001719
0.144000,-0.012904,-0.002762,-0.001389,-0.076235,0.001459,0.038169,0.000073,0.000116,0.000032,-0.002771,-0.002100,0.001910
0.150000,-0.012903,-0.002684,-0.001389,-0.076235,0.001459,0.038169,0.000074,0.000126,0.000034,-0.003228,-0.002091,0.002139
0.154000,-0.012902,-0.002632,-0.001389,-0.076235,0.001459,0.038169,0.000075,0.000132,0.000035,-0.003533,-0.002085,0.002292
0.159000,0.045787,0.013554,0.018974,-0.015442,0.001458,-0.022620,0.000076,0.000140,0.000037,-0.003610,-0.002078,0.002179
0.164000,0.045788,0.013567,0.018974,-0.015442,0.001458,-0.022620,0.000078,0.000148,0.000039,-0.003688,-0.002071,0.002065
0.169000,0.045789,0.013581,0.018974,-0.015442,0.001458,-0.022620,0.000081,0.000157,0.000042,-0.003765,-0.002063,0.001952
