time,an_x,an_y,an_z,wn_x,wn_y,wn_z,esti_x,esti_y,esti_z,esti_a,esti_b,esti_c
0.004000,0.036696,-0.007644,0.008185,-0.097925,-0.204303,-0.052773,0.000000,-0.000000,0.000000,-0.000392,-0.000817,-0.000211
0.014000,0.036347,-0.007478,0.008186,-0.097314,-0.203496,-0.052774,0.000004,-0.000001,0.000001,-0.001365,-0.002852,-0.000739
0.021000,-0.015705,0.005145,0.014771,-0.038000,0.041208,0.068809,0.000007,-0.000001,0.000002,-0.001631,-0.002564,-0.000257
0.026000,-0.015670,0.005177,0.014771,-0.037886,0.040925,0.068809,0.000009,-0.000002,0.000003,-0.001820,-0.002359,0.000087
0.032000,-0.015628,0.005216,0.014771,-0.037685,0.040788,0.068809,0.000010,-0.000002,0.000005,-0.002046,-0.002114,0.000500
0.036000,-0.015600,0.005242,0.014771,-0.037603,0.040541,0.068810,0.000011,-0.000002,0.000007,-0.002197,-0.001952,0.000775
0.041000,0.027433,-0.004322,-0.005589,-0.021623,-0.100421,0.008018,0.000012,-0.000002,0.000009,-0.002305,-0.002454,0.000815
0.047000,0.027330,-0.004300,-0.005588,-0.021536,-0.100042,0.008018,0.000014,-0.000002,0.000011,-0.002434,-0.003055,0.000863
0.052000,0.027245,-0.004281,-0.005588,-0.021434,-0.099540,0.008018,0.000017,-0.000002,0.000013,-0.002541,-0.003552,0.000903
0.057000,0.001459,0.001158,0.020162,-0.056707,-0.039297,-0.052774,0.000020,-0.000003,0.000015,-0.002825,-0.003749,0.000639
0.062000,0.001425,0.001206,0.020162,-0.056481,-0.039140,-0.052774,0.000023,-0.000003,0.000018,-0.003107,-0.003944,0.000376
0.067000,0.001392,0.001255,0.020162,-0.056255,-0.038984,-0.052774,0.000026,-0.000003,0.000021,-0.003389,-0.004139,0.000112
0.073000,0.001352,0.001312,0.020162,-0.055980,-0.038802,-0.052774,0.000030,-0.000003,0.000025,-0.003724,-0.004372,-0.000205
0.079000,0.026344,0.013227,0.014773,0.060656,-0.155946,0.008021,0.000034,-0.000003,0.000030,-0.003360,-0.005308,-0.000157
0.085000,0.026184,0.013165,0.014773,0.060365,-0.155198,0.008021,0.000040,-0.000003,0.000035,-0.002998,-0.006239,-0.000109
0.090000,0.026052,0.013113,0.014774,0.060074,-0.154480,0.008021,0.000045,-0.000002,0.000040,-0.002698,-0.007011,-0.000069
0.095000,0.025920,0.013062,0.014774,0.059835,-0.153863,0.008020,0.000050,-0.000001,0.000046,-0.002399,-0.007781,-0.000029
0.100000,-0.014122,-0.009059,0.009980,-0.043787,0.094496,0.008018,0.000056,0.000000,0.000051,-0.002618,-0.007308,0.000012
0.104000,-0.014058,-0.009029,0.009980,-0.043613,0.094141,0.008018,0.000061,0.000001,0.000056,-0.002792,-0.006932,0.000044
0.109000,-0.013977,-0.008992,0.009980,-0.043472,0.093817,0.008018,0.000066,0.000002,0.000062,-0.003009,-0.006463,0.000084
0.114000,-0.013897,-0.008955,0.009980,-0.043299,0.093442,0.008018,0.000071,0.000002,0.000068,-0.003226,-0.005995,0.000124
0.118000,0.011753,-0.001165,-0.000797,-0.006801,-0.148348,0.008024,0.000075,0.000003,0.000073,-0.003253,-0.006589,0.000156
0.124000,0.011602,-0.001158,-0.000797,-0.006778,-0.147725,0.008025,0.000081,0.000003,0.000081,-0.003294,-0.007475,0.000204
