time,an_x,an_y,an_z,wn_x,wn_y,wn_z,posi_x,posi_y,posi_z,angle_x,angle_y,angle_z
0.004000,-0.008504,0.002603,0.022347,0.009861,0.080616,0.031850,-0.000000,0.000000,0.000000,0.000039,0.000322,0.000127
0.009000,-0.001277,0.007963,-0.014184,0.035092,0.046853,-0.028941,-0.000000,0.000000,0.000000,0.000215,0.000557,-0.000017
0.013000,-0.001245,0.007939,-0.014184,0.034950,0.046699,-0.028941,-0.000000,0.000000,0.000000,0.000355,0.000744,-0.000133
0.017000,-0.001214,0.007915,-0.014184,0.034839,0.046549,-0.028941,-0.000001,0.000001,0.000000,0.000494,0.000930,-0.000249
0.022000,-0.001174,0.007885,-0.014184,0.034729,0.046368,-0.028941,-0.000001,0.000001,-0.000001,0.000668,0.001162,-0.000394
0.026000,0.004231,0.012082,0.000787,-0.006483,0.021028,-0.028940,-0.000001,0.000002,-0.000001,0.000642,0.001246,-0.000509
0.030000,0.004245,0.012086,0.000787,-0.006462,0.020960,-0.028940,-0.000001,0.000003,-0.000002,0.000616,0.001330,-0.000625
0.034000,0.004259,0.012091,0.000787,-0.006441,0.020893,-0.028940,-0.000001,0.000004,-0.000002,0.000590,0.001413,-0.000741
0.038000,0.004274,0.012095,0.000787,-0.006420,0.020826,-0.028940,-0.000001,0.000005,-0.000003,0.000564,0.001496,-0.000857
0.042000,0.004288,0.012099,0.000787,-0.006399,0.020759,-0.028939,-0.000001,0.000007,-0.000004,0.000539,0.001579,-0.000972
0.046000,0.024556,-0.032709,0.006776,-0.155502,-0.134947,0.031850,-0.000001,0.000008,-0.000004,-0.000083,0.001040,-0.000845
0.050000,0.024464,-0.032603,0.006776,-0.155005,-0.134516,0.031850,-0.000000,0.000009,-0.000005,-0.000703,0.000502,-0.000718
0.054000,0.024372,-0.032497,0.006777,-0.154510,-0.134086,0.031850,0.000001,0.000009,-0.000005,-0.001321,-0.000035,-0.000590
0.058000,0.024281,-0.032391,0.006777,-0.154016,-0.133657,0.031850,0.000002,0.000009,-0.000005,-0.001937,-0.000569,-0.000463
0.062000,-0.002034,-0.000648,-0.004004,-0.005351,0.050390,0.031848,0.000004,0.000009,-0.000005,-0.001959,-0.000368,-0.000335
0.066000,-0.002000,-0.000644,-0.004004,-0.005334,0.050229,0.031848,0.000006,0.000008,-0.000006,-0.001980,-0.000167,-0.000208
0.070000,-0.001966,-0.000641,-0.004004,-0.005317,0.050068,0.031848,0.000007,0.000008,-0.000006,-0.002001,0.000033,-0.000081
0.074000,-0.001932,-0.000637,-0.004004,-0.005300,0.049908,0.031848,0.000009,0.000007,-0.000006,-0.002022,0.000233,0.000047
0.078000,0.001684,-0.007242,-0.015981,0.024483,0.032946,0.031848,0.000010,0.000006,-0.000007,-0.001925,0.000365,0.000174
0.082000,0.001707,-0.007259,-0.015981,0.024405,0.032840,0.031848,0.000012,0.000006,-0.000008,-0.001827,0.000496,0.000302
0.087000,0.001735,-0.007279,-0.015981,0.024279,0.032702,0.031848,0.000014,0.000005,-0.000009,-0.001705,0.000660,0.000461
0.091000,0.001757,-0.007296,-0.015981,0.024229,0.032604,0.031848,0.000016,0.000004,-0.000010,-0.001609,0.000790,0.000588
