time,an_x,an_y,an_z,wn_x,wn_y,wn_z,posi_x,posi_y,posi_z,angle_x,angle_y,angle_z
0.004000,0.028767,-0.004295,-0.005120,-0.073638,-0.134529,-0.067362,0.000000,-0.000000,-0.000000,-0.000295,-0.000538,-0.000269
0.013000,0.028561,-0.004183,-0.005119,-0.073189,-0.134101,-0.067363,0.000002,-0.000000,-0.000000,-0.000953,-0.001745,-0.000876
0.020000,0.008154,0.010793,-0.000329,-0.002792,-0.037944,-0.006572,0.000005,-0.000000,-0.000001,-0.000973,-0.002011,-0.000922
0.024000,0.008128,0.010795,-0.000329,-0.002905,-0.037731,-0.006572,0.000007,-0.000000,-0.000001,-0.000984,-0.002162,-0.000948
0.029000,0.008096,0.010797,-0.000329,-0.002852,-0.037611,-0.006573,0.000009,0.000000,-0.000002,-0.000999,-0.002350,-0.000981
0.034000,0.008064,0.010800,-0.000329,-0.002841,-0.037461,-0.006573,0.000012,0.000001,-0.000002,-0.001013,-0.002537,-0.001014
0.039000,0.019364,-0.008337,-0.003323,-0.031825,-0.090497,-0.006570,0.000015,0.000002,-0.000002,-0.001172,-0.002989,-0.001047
0.044000,0.019287,-0.008310,-0.003323,-0.031698,-0.090136,-0.006570,0.000018,0.000002,-0.000003,-0.001330,-0.003440,-0.001079
0.050000,0.019195,-0.008278,-0.003322,-0.031577,-0.089777,-0.006570,0.000023,0.000003,-0.000004,-0.001520,-0.003979,-0.001119
0.055000,0.019119,-0.008251,-0.003322,-0.031420,-0.089346,-0.006570,0.000028,0.000003,-0.000004,-0.001677,-0.004425,-0.001152
0.061000,0.030948,0.003701,-0.014100,0.024690,-0.145128,-0.006570,0.000034,0.000003,-0.000005,-0.001529,-0.005296,-0.001191
0.066000,0.030825,0.003680,-0.014100,0.024577,-0.144432,-0.006570,0.000040,0.000003,-0.000007,-0.001406,-0.006018,-0.001224
0.071000,0.030702,0.003659,-0.014099,0.024479,-0.143855,-0.006570,0.000047,0.000003,-0.000008,-0.001284,-0.006738,-0.001257
0.076000,0.047226,-0.009432,0.001474,-0.097743,-0.281911,0.054215,0.000055,0.000003,-0.000010,-0.001772,-0.008147,-0.000986
0.080000,0.047034,-0.009366,0.001475,-0.097395,-0.280833,0.054214,0.000062,0.000003,-0.000012,-0.002162,-0.009271,-0.000769
0.085000,0.046794,-0.009282,0.001476,-0.097041,-0.279887,0.054214,0.000072,0.000003,-0.000013,-0.002647,-0.010670,-0.000498
0.091000,0.046508,-0.009183,0.001478,-0.096610,-0.278721,0.054213,0.000085,0.000002,-0.000015,-0.003227,-0.012342,-0.000173
0.096000,0.012919,0.007549,0.003865,0.042689,-0.060224,-0.006569,0.000097,0.000002,-0.000017,-0.003013,-0.012643,-0.000205
0.101000,0.012868,0.007513,0.003865,0.042518,-0.059983,-0.006569,0.000109,0.000001,-0.000019,-0.002801,-0.012943,-0.000238
0.106000,0.012817,0.007477,0.003865,0.042348,-0.059744,-0.006569,0.000122,0.000001,-0.000020,-0.002589,-0.013242,-0.000271
0.111000,0.012766,0.007440,0.003865,0.042179,-0.059505,-0.006569,0.000135,0.000001,-0.000021,-0.002378,-0.013540,-0.000304
0.116000,0.012718,-0.010490,-0.008710,-0.041940,-0.059360,-0.067360,0.000148,0.000001,-0.000023,-0.002588,-0.013836,-0.000641
0.121000,0.012667,-0.010455,-0.008710,-0.041772,-0.059123,-0.067360,0.000162,0.000001,-0.000024,-0.002797,-0.014132,-0.000978
0.127000,0.012607,-0.010412,-0.008709,-0.041611,-0.058887,-0.067360,0.000179,0.000000,-0.000027,-0.003046,-0.014485,-0.001382
0.131000,0.012567,-0.010384,-0.008709,-0.041400,-0.058604,-0.067360,0.000190,-0.000000,-0.000028,-0.003212,-0.014720,-0.001651
0.136000,0.016096,0.023598,-0.007512,0.178858,-0.075211,-0.006553,0.000205,-0.000001,-0.000031,-0.002318,-0.015096,-0.001684
0.140000,0.016045,0.023477,-0.007511,0.178197,-0.074910,-0.006552,0.000217,-0.000001,-0.000033,-0.001605,-0.015395,-0.001710
0.145000,0.015981,0.023325,-0.007511,0.177573,-0.074671,-0.006552,0.000232,-0.000001,-0.000035,-0.000717,-0.015769,-0.001743
0.150000,0.015917,0.023173,-0.007510,0.176864,-0.074373,-0.006551,0.000248,0.000000,-0.000038,0.000167,-0.016141,-0.001776
